year;population;deaths;births;migration
2010;96835169;1721108;1473894;88582
2011;107915196;1777845;1571089;288555
2012;121076849;1745423;1684264;215920
2013;139146879;1843328;1825672;324983
2014;142418256;1865506;1899250;272014
2015;142763919;1861645;1897339;213128
2016;143040123;1845888;1848712;237789
2017;143332001;1785678;1657729;193544
2018;143397127;1789372;1574306;110299
2019;143365227;1759010;1452994;265918
2020;143325162;2093277;1409152;76256
2021;142718676;2389085;1371462;399792
2022;142103031;1857505;1280079;51887
